Date,Close,,行标签,平均值项:Close,,,,,,
1972/10/27,110.620003,,,,,,,,,
1972/10/30,110.589996,,,,,,,,,
1972/10/31,111.580002,,,,,,,,,
1972/11/1,112.669998,,,,,,,,,
1972/11/2,113.230003,,,,,,,,,
1972/11/3,114.220001,,,,,,,,,
1972/11/6,113.980003,,,,,,,,,
1972/11/8,113.349998,,,,,,,,,
1972/11/9,113.5,,,,,,,,,
1972/11/10,113.730003,,,,,,,,,
1972/11/13,113.900002,,,,,,,,,
1972/11/14,114.949997,,,,,,,,,
1972/11/15,114.5,,,,,,,,,
1972/11/16,115.129997,,,,,,,,,
1972/11/17,115.489998,,,,,,,,,
1972/11/20,115.529999,,,,,,,,,
1972/11/21,116.209999,,,,,,,,,
1972/11/22,116.900002,,,,,,,,,
1972/11/24,117.269997,,,,,,,,,
1972/11/27,116.720001,,,,,,,,,
1972/11/28,116.470001,,,,,,,,,
1972/11/29,116.519997,,,,,,,,,
1972/11/30,116.669998,,,,,,,,,
1972/12/1,117.379997,,,,,,,,,
1972/12/4,117.769997,,,,,,,,,
1972/12/5,117.580002,,,,,,,,,
1972/12/6,118.010002,,,,,,,,,
1972/12/7,118.599998,,,,,,,,,
1972/12/8,118.860001,,,,,,,,,
1972/12/11,119.120003,,,,,,,,,
1972/12/12,118.660004,,,,,,,,,
1972/12/13,118.559998,,,,,,,,,
1972/12/14,118.239998,,,,,,,,,
1972/12/15,118.260002,,,,,,,,,
1972/12/18,116.900002,,,,,,,,,
1972/12/19,116.339996,,,,,,,,,
1972/12/20,115.949997,,,,,,,,,
1972/12/21,115.110001,,,,,,,,,
1972/12/22,115.830002,,,,,,,,,
1972/12/26,116.300003,,,,,,,,,
1972/12/27,116.93,,,,,,,,,
1972/12/29,118.050003,,,,,,,,,
1973/1/2,119.099998,,,,,,,,,
1973/1/3,119.57,,,,,,,,,
1973/1/4,119.400002,,,,,,,,,
1973/1/5,119.870003,,,,,,,,,
1973/1/8,119.849998,,,,,,,,,
1973/1/9,119.730003,,,,,,,,,
1973/1/10,119.43,,,,,,,,,
1973/1/11,120.239998,,,,,,,,,
1973/1/12,119.300003,,,,,,,,,
1973/1/15,118.440002,,,,,,,,,
1973/1/16,118.139999,,,,,,,,,
1973/1/17,118.68,,,,,,,,,
1973/1/18,118.849998,,,,,,,,,
1973/1/19,118.779999,,,,,,,,,
1973/1/22,118.209999,,,,,,,,,
1973/1/23,118.220001,,,,,,,,,
1973/1/24,116.730003,,,,,,,,,
1973/1/26,116.449997,,,,,,,,,
1973/1/29,116.010002,,,,,,,,,
1973/1/30,115.830002,,,,,,,,,
1973/1/31,116.029999,,,,,,,,,
1973/2/1,114.760002,,,,,,,,,
1973/2/2,114.349998,,,,,,,,,
1973/2/5,114.230003,,,,,,,,,
1973/2/6,114.449997,,,,,,,,,
1973/2/7,113.660004,,,,,,,,,
1973/2/8,113.160004,,,,,,,,,
1973/2/9,114.68,,,,,,,,,
1973/2/12,116.059998,,,,,,,,,
1973/2/13,116.779999,,,,,,,,,
1973/2/14,115.099998,,,,,,,,,
1973/2/15,114.449997,,,,,,,,,
1973/2/16,114.980003,,,,,,,,,
1973/2/20,115.400002,,,,,,,,,
1973/2/21,114.690002,,,,,,,,,
1973/2/22,114.440002,,,,,,,,,
1973/2/23,113.160004,,,,,,,,,
1973/2/26,112.190002,,,,,,,,,
1973/2/27,110.900002,,,,,,,,,
1973/2/28,111.68,,,,,,,,,
1973/3/1,111.050003,,,,,,,,,
1973/3/2,112.279999,,,,,,,,,
1973/3/5,112.68,,,,,,,,,
1973/3/6,114.099998,,,,,,,,,
1973/3/7,114.449997,,,,,,,,,
1973/3/8,114.230003,,,,,,,,,
1973/3/9,113.790001,,,,,,,,,
1973/3/12,113.860001,,,,,,,,,
1973/3/13,114.480003,,,,,,,,,
1973/3/14,114.980003,,,,,,,,,
1973/3/15,114.120003,,,,,,,,,
1973/3/16,113.540001,,,,,,,,,
1973/3/19,112.169998,,,,,,,,,
1973/3/20,111.949997,,,,,,,,,
1973/3/21,110.489998,,,,,,,,,
1973/3/22,108.839996,,,,,,,,,
1973/3/23,108.879997,,,,,,,,,
1973/3/26,109.839996,,,,,,,,,
1973/3/27,111.559998,,,,,,,,,
1973/3/28,111.620003,,,,,,,,,
1973/3/29,112.709999,,,,,,,,,
1973/3/30,111.519997,,,,,,,,,
1973/4/2,110.18,,,,,,,,,
1973/4/3,109.239998,,,,,,,,,
1973/4/4,108.769997,,,,,,,,,
1973/4/5,108.519997,,,,,,,,,
1973/4/6,109.279999,,,,,,,,,
1973/4/9,110.860001,,,,,,,,,
1973/4/10,112.209999,,,,,,,,,
1973/4/11,112.68,,,,,,,,,
1973/4/12,112.580002,,,,,,,,,
1973/4/13,112.080002,,,,,,,,,
1973/4/16,111.440002,,,,,,,,,
1973/4/17,110.940002,,,,,,,,,
1973/4/18,111.540001,,,,,,,,,
1973/4/19,112.169998,,,,,,,,,
1973/4/23,111.57,,,,,,,,,
1973/4/24,109.989998,,,,,,,,,
1973/4/25,108.339996,,,,,,,,,
1973/4/26,108.889999,,,,,,,,,
1973/4/27,107.230003,,,,,,,,,
1973/4/30,106.970001,,,,,,,,,
1973/5/1,107.099998,,,,,,,,,
1973/5/2,108.43,,,,,,,,,
1973/5/3,110.220001,,,,,,,,,
1973/5/4,111,,,,,,,,,
1973/5/7,110.529999,,,,,,,,,
1973/5/8,111.25,,,,,,,,,
1973/5/9,110.440002,,,,,,,,,
1973/5/10,109.540001,,,,,,,,,
