DATE,FEDFUNDS,,,,,
1979/12/1,13.78,0.1378,,0.1039,,-0.0339
1980/1/1,13.82,0.1382,,0.108,,-0.0302
1980/2/1,14.13,0.1413,,0.1241,,-0.0172
1980/3/1,17.19,0.1719,,0.1275,,-0.0444
1980/4/1,17.61,0.1761,,0.1147,,-0.0614
1980/5/1,10.98,0.1098,,0.1018,,-0.008
1980/6/1,9.47,0.0947,,0.0978,,0.0031
1980/7/1,9.03,0.0903,,0.1025,,0.0122
1980/8/1,9.61,0.0961,,0.111,,0.0149
1980/9/1,10.87,0.1087,,0.1151,,0.0064
1980/10/1,12.81,0.1281,,0.1175,,-0.0106
1980/11/1,15.85,0.1585,,0.1268,,-0.0317
1980/12/1,18.9,0.189,,0.1284,,-0.0606
1981/1/1,19.08,0.1908,,0.1257,,-0.0651
1981/2/1,15.93,0.1593,,0.1319,,-0.0274
1981/3/1,14.7,0.147,,0.1312,,-0.0158
1981/4/1,15.72,0.1572,,0.1368,,-0.0204
1981/5/1,18.52,0.1852,,0.141,,-0.0442
1981/6/1,19.1,0.191,,0.1347,,-0.0563
1981/7/1,19.04,0.1904,,0.1428,,-0.0476
1981/8/1,17.82,0.1782,,0.1494,,-0.0288
1981/9/1,15.87,0.1587,,0.1532,,-0.0055
1981/10/1,15.08,0.1508,,0.1515,,0.0007
1981/11/1,13.31,0.1331,,0.1339,,0.0008
1981/12/1,12.37,0.1237,,0.1372,,0.0135
1982/1/1,13.22,0.1322,,0.1459,,0.0137
1982/2/1,14.78,0.1478,,0.1443,,-0.0035
1982/3/1,14.68,0.1468,,0.1386,,-0.0082
1982/4/1,14.94,0.1494,,0.1387,,-0.0107
1982/5/1,14.45,0.1445,,0.1362,,-0.0083
1982/6/1,14.15,0.1415,,0.143,,0.0015
1982/7/1,12.59,0.1259,,0.1395,,0.0136
1982/8/1,10.12,0.1012,,0.1306,,0.0294
1982/9/1,10.31,0.1031,,0.1234,,0.0203
1982/10/1,9.71,0.0971,,0.1091,,0.012
1982/11/1,9.2,0.092,,0.1055,,0.0135
1982/12/1,8.95,0.0895,,0.1054,,0.0159
1983/1/1,8.68,0.0868,,0.1046,,0.0178
1983/2/1,8.51,0.0851,,0.1072,,0.0221
1983/3/1,8.77,0.0877,,0.1051,,0.0174
1983/4/1,8.8,0.088,,0.104,,0.016
1983/5/1,8.63,0.0863,,0.1038,,0.0175
1983/6/1,8.98,0.0898,,0.1085,,0.0187
1983/7/1,9.37,0.0937,,0.1138,,0.0201
1983/8/1,9.56,0.0956,,0.1185,,0.0229
1983/9/1,9.45,0.0945,,0.1165,,0.022
1983/10/1,9.48,0.0948,,0.1154,,0.0206
1983/11/1,9.34,0.0934,,0.1169,,0.0235
1983/12/1,9.47,0.0947,,0.1183,,0.0236
1984/1/1,9.56,0.0956,,0.1167,,0.0211
1984/2/1,9.59,0.0959,,0.1184,,0.0225
1984/3/1,9.91,0.0991,,0.1232,,0.0241
1984/4/1,10.29,0.1029,,0.1263,,0.0234
1984/5/1,10.32,0.1032,,0.1341,,0.0309
1984/6/1,11.06,0.1106,,0.1356,,0.025
1984/7/1,11.23,0.1123,,0.1336,,0.0213
1984/8/1,11.64,0.1164,,0.1272,,0.0108
1984/9/1,11.3,0.113,,0.1252,,0.0122
1984/10/1,9.99,0.0999,,0.1216,,0.0217
1984/11/1,9.43,0.0943,,0.1157,,0.0214
1984/12/1,8.38,0.0838,,0.115,,0.0312
1985/1/1,8.35,0.0835,,0.1138,,0.0303
1985/2/1,8.5,0.085,,0.1151,,0.0301
1985/3/1,8.58,0.0858,,0.1186,,0.0328
1985/4/1,8.27,0.0827,,0.1143,,0.0316
1985/5/1,7.97,0.0797,,0.1085,,0.0288
1985/6/1,7.53,0.0753,,0.1016,,0.0263
1985/7/1,7.88,0.0788,,0.1031,,0.0243
1985/8/1,7.9,0.079,,0.1033,,0.0243
1985/9/1,7.92,0.0792,,0.1037,,0.0245
1985/10/1,7.99,0.0799,,0.1024,,0.0225
1985/11/1,8.05,0.0805,,0.0978,,0.0173
1985/12/1,8.27,0.0827,,0.0926,,0.0099
1986/1/1,8.14,0.0814,,0.0919,,0.0105
1986/2/1,7.86,0.0786,,0.087,,0.0084
1986/3/1,7.48,0.0748,,0.0778,,0.003
1986/4/1,6.99,0.0699,,0.073,,0.0031
1986/5/1,6.85,0.0685,,0.0771,,0.0086
1986/6/1,6.92,0.0692,,0.078,,0.0088
1986/7/1,6.56,0.0656,,0.073,,0.0074
1986/8/1,6.17,0.0617,,0.0717,,0.01
1986/9/1,5.89,0.0589,,0.0745,,0.0156
1986/10/1,5.85,0.0585,,0.0743,,0.0158
1986/11/1,6.04,0.0604,,0.0725,,0.0121
1986/12/1,6.91,0.0691,,0.0711,,0.002
1987/1/1,6.43,0.0643,,0.0708,,0.0065
1987/2/1,6.1,0.061,,0.0725,,0.0115
1987/3/1,6.13,0.0613,,0.0725,,0.0112
1987/4/1,6.37,0.0637,,0.0802,,0.0165
1987/5/1,6.85,0.0685,,0.0861,,0.0176
1987/6/1,6.73,0.0673,,0.084,,0.0167
1987/7/1,6.58,0.0658,,0.0845,,0.0187
1987/8/1,6.73,0.0673,,0.0876,,0.0203
1987/9/1,7.22,0.0722,,0.0942,,0.022
1987/10/1,7.29,0.0729,,0.0952,,0.0223
1987/11/1,6.69,0.0669,,0.0886,,0.0217
1987/12/1,6.77,0.0677,,0.0899,,0.0222
1988/1/1,6.83,0.0683,,0.0867,,0.0184
